               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094762,            0.039692,            0.030296,             0.33678,              0.3286,             0.29232,            0.086789,            0.074694,            0.030236,            0.018858,             0.00162,             0.00162,             0.08542
                   1,            0.069182,            0.032309,            0.018144,             0.39539,             0.59042,             0.48841,             0.21994,            0.054931,            0.026777,            0.013326,           0.0032495,           0.0032495,            0.070749
                   2,            0.060586,            0.028148,            0.011675,             0.55482,             0.59772,             0.52208,              0.2182,            0.051735,            0.024681,           0.0079594,            0.004877,            0.004877,            0.056077
                   3,            0.054466,            0.027505,           0.0089109,             0.82921,             0.65475,             0.73959,             0.32433,            0.044292,            0.025716,           0.0088379,            0.006501,            0.006501,            0.041401
                   4,            0.053003,            0.027271,           0.0080109,             0.62088,             0.60822,             0.57967,             0.23238,            0.048654,            0.024972,           0.0080504,           0.0081199,           0.0081199,             0.02672
                   5,            0.050671,            0.027332,           0.0074852,             0.77715,             0.66804,             0.71804,             0.34782,             0.04114,            0.023181,           0.0061367,           0.0097324,           0.0097324,            0.012032
                   6,            0.046606,            0.027247,           0.0071791,             0.79876,             0.66207,             0.71273,             0.35331,            0.040443,            0.027457,           0.0099151,           0.0099446,           0.0099446,           0.0099446
                   7,            0.043677,            0.026858,           0.0067459,             0.85932,              0.7302,             0.76895,             0.40967,            0.039087,            0.025154,           0.0065795,           0.0099446,           0.0099446,           0.0099446
                   8,            0.042189,            0.026491,           0.0058618,             0.86123,             0.69961,             0.79518,             0.40949,            0.038233,            0.024414,           0.0079742,           0.0099246,           0.0099246,           0.0099246
                   9,            0.041056,            0.025937,           0.0058754,             0.85325,             0.72414,             0.77887,             0.43587,             0.03656,            0.022689,            0.006554,           0.0099017,           0.0099017,           0.0099017
                  10,            0.039682,            0.025679,           0.0054289,             0.88615,              0.7317,             0.79605,             0.42208,            0.036295,            0.023172,           0.0061964,           0.0098757,           0.0098757,           0.0098757
                  11,            0.038865,            0.025099,           0.0050672,             0.89093,             0.74935,             0.80032,             0.43253,            0.036207,             0.02282,            0.007352,           0.0098467,           0.0098467,           0.0098467
                  12,            0.038381,            0.025034,           0.0049502,             0.89798,             0.74597,             0.80638,             0.44997,            0.035393,            0.022543,           0.0053663,           0.0098147,           0.0098147,           0.0098147
